Year,Exchange,Acres
2013,Southwest,285010
2013,Tallgrass Prairie,10882
2014,Alaska,277816
2014,Appalachians,55975
2014,California,500819
2014,Great Basin,608461
2014,Great Plains,1842920
2014,Lake States,5875
2014,North Atlantic,1407
2014,Northern Rockies,172549
2014,Northwest,844519
2014,Oak Woodlands,337876
2014,Southern,775503
2014,Southern Rockies,26509
2014,Southwest,248764
2014,Tallgrass Prairie,189131
2015,Alaska,4947962
2015,Appalachians,33140
2015,California,758684
2015,Great Basin,466504
2015,Great Plains,1397940
2015,Lake States,14345
2015,North Atlantic,4380
2015,Northern Rockies,724912
2015,Northwest,1647107
2015,Oak Woodlands,332641
2015,Pacific,3743
2015,Southern,438398
2015,Southern Rockies,8813
2015,Southwest,205751
2015,Tallgrass Prairie,77838
2016,Alaska,471947
2016,Appalachians,271775
2016,California,525998
2016,Great Basin,575820
2016,Great Plains,2515973
2016,Lake States,10680
2016,North Atlantic,2571
2016,Northern Rockies,503110
2016,Northwest,404788
2016,Oak Woodlands,390932
2016,Pacific,13093
2016,Southern,677884
2016,Southern Rockies,120310
2016,Southwest,475621
2016,Tallgrass Prairie,112670
2017,Alaska,711102
2017,Appalachians,25087
2017,California,1158528
2017,Great Basin,1870701
2017,Great Plains,3341125
2017,Lake States,1557
2017,North Atlantic,4189
2017,Northern Rockies,1023651
2017,Northwest,1072867
2017,Oak Woodlands,174917
2017,Pacific,1591
2017,Southern,904465
2017,Southern Rockies,125685
2017,Southwest,635526
2017,Tallgrass Prairie,98417
2018,Alaska,418544
2018,Appalachians,34283
2018,California,1455344
2018,Great Basin,1764475
2018,Great Plains,1440343
2018,Lake States,15269
2018,North Atlantic,2196
2018,Northern Rockies,455136
2018,Northwest,1212397
2018,Oak Woodlands,303505
2018,Pacific,15617
2018,Southern,803622
2018,Southern Rockies,369217
2018,Southwest,579639
2018,Tallgrass Prairie,51330
2019,Alaska,2524209
2019,California,219135
2019,Great Basin,484155
2019,Great Plains,43136
2019,Northern Rockies,49477
2019,Northwest,209105
2019,Pacific,13440
2019,Southern Rockies,51364
2019,Southwest,516240
Grand Total,,188291155
