Rowid_,VALUE,COUNT,US_200BPS,US_200EVT,BPS_MODEL,BPS_NAME,GROUPVEG,FRI_REPLAC,FRI_MIXED,FRI_SURFAC,FRI_ALLFIR,EVT_NAME,EVT_PHYS
,65631,1,885,7061,10550_21_22,Rocky Mountain Subalpine Dry-Mesic Spruce-Fir Forest and Woodland,Conifer,337.000000000000000,NA,NA,337.000000000000000,Inter-Mountain Basins Aspen-Mixed Conifer Forest and Woodland,Conifer-Hardwood
,65636,1313,581,7082,10190_6_7_9_12_16_17_18_19,Great Basin Pinyon-Juniper Woodland,Conifer,844.000000000000000,913,NA,438.000000000000000,Mojave Mid-Elevation Mixed Desert Scrub,Shrubland
,65640,344549,1093,7081,10820_12_15_16_17_23_24,Mojave Mid-Elevation Mixed Desert Scrub,Shrubland,796.000000000000000,NA,NA,796.000000000000000,Inter-Mountain Basins Mixed Salt Desert Scrub,Shrubland
,65641,2488,996,9307,11262_16_23,Inter-Mountain Basins Montane Sagebrush Steppe - Low Sagebrush,Shrubland,222.000000000000000,NA,NA,222.000000000000000,Great Basin & Intermountain Introduced Annual and Biennial Forbland,Exotic Herbaceous
,65642,91,978,9307,10612_16_23,Inter-Mountain Basins Aspen-Mixed Conifer Forest and Woodland - High Elevation,Hardwood-Conifer,71.000000000000000,60,NA,33.000000000000000,Great Basin & Intermountain Introduced Annual and Biennial Forbland,Exotic Herbaceous
,65647,107,612,7098,11250_6_12_13_15_16_17_18_23_24_25_28,Inter-Mountain Basins Big Sagebrush Steppe,Shrubland,117.000000000000000,NA,NA,117.000000000000000,California Montane Woodland and Chaparral,Shrubland
,65656,15,612,7137,11250_6_12_13_15_16_17_18_23_24_25_28,Inter-Mountain Basins Big Sagebrush Steppe,Shrubland,117.000000000000000,NA,NA,117.000000000000000,Mediterranean California Subalpine Meadow,Grassland
,65665,14,612,7031,11250_6_12_13_15_16_17_18_23_24_25_28,Inter-Mountain Basins Big Sagebrush Steppe,Shrubland,117.000000000000000,NA,NA,117.000000000000000,California Montane Jeffrey Pine-(Ponderosa Pine) Woodland,Conifer
,65666,77,973,9307,10540_16_23_24,Southern Rocky Mountain Ponderosa Pine Woodland,Conifer,279.000000000000000,227,20,17.000000000000000,Great Basin & Intermountain Introduced Annual and Biennial Forbland,Exotic Herbaceous
,65669,14688,980,7079,10640_15_16_17_23_24_27_28,Colorado Plateau Mixed Low Sagebrush Shrubland,Shrubland,236.000000000000000,119,NA,79.000000000000000,Great Basin Xeric Mixed Sagebrush Shrubland,Shrubland
,65670,18,1002,7049,11530_16_23_24_25_27,Inter-Mountain Basins Greasewood Flat,Shrubland,208.000000000000000,NA,NA,208.000000000000000,Rocky Mountain Foothill Limber Pine-Juniper Woodland,Conifer
,65673,40033,965,7054,10110_16_23_24,Rocky Mountain Aspen Forest and Woodland,Hardwood,59.000000000000000,50,NA,27.000000000000000,Southern Rocky Mountain Ponderosa Pine Woodland,Conifer
,65679,38,986,9001,10860_13_16_17_18_21_23,Rocky Mountain Lower Montane-Foothill Shrubland,Shrubland,103.000000000000000,28,NA,22.000000000000000,Colorado Plateau Mixed Bedrock Canyon and Tableland,Sparsely Vegetated
,65680,301842,973,7054,10540_16_23_24,Southern Rocky Mountain Ponderosa Pine Woodland,Conifer,279.000000000000000,227,20,17.000000000000000,Southern Rocky Mountain Ponderosa Pine Woodland,Conifer
,65693,17,612,7062,11250_6_12_13_15_16_17_18_23_24_25_28,Inter-Mountain Basins Big Sagebrush Steppe,Shrubland,117.000000000000000,NA,NA,117.000000000000000,Inter-Mountain Basins Curl-leaf Mountain Mahogany Woodland,Conifer
,65694,1,981,7072,10700_16,Rocky Mountain Alpine Dwarf-Shrubland,Shrubland,227.000000000000000,NA,NA,227.000000000000000,Wyoming Basins Dwarf Sagebrush Shrubland and Steppe,Shrubland
,65696,29,972,9022,10520_16_23_24,Southern Rocky Mountain Mesic Montane Mixed Conifer Forest and Woodland,Conifer,186.000000000000000,90,73,33.000000000000000,Rocky Mountain Subalpine-Montane Riparian Woodland,Riparian
,65697,7,989,9017,11030_6_7_12_13_16_17_23,Great Basin Semi-Desert Chaparral,Shrubland,50.000000000000000,NA,NA,50.000000000000000,Rocky Mountain Alpine-Montane Wet Meadow,Riparian
,65704,75008,977,7054,10611_16_23_24,Inter-Mountain Basins Aspen-Mixed Conifer Forest and Woodland - Low Elevation,Hardwood-Conifer,43.000000000000000,13,NA,10.000000000000000,Southern Rocky Mountain Ponderosa Pine Woodland,Conifer
,65711,1,612,7027,11250_6_12_13_15_16_17_18_23_24_25_28,Inter-Mountain Basins Big Sagebrush Steppe,Shrubland,117.000000000000000,NA,NA,117.000000000000000,Mediterranean California Dry-Mesic Mixed Conifer Forest and Woodland,Conifer
,65712,70333,972,7054,10520_16_23_24,Southern Rocky Mountain Mesic Montane Mixed Conifer Forest and Woodland,Conifer,186.000000000000000,90,73,33.000000000000000,Southern Rocky Mountain Ponderosa Pine Woodland,Conifer
,65713,7,970,7297,10500_16_23_28,Rocky Mountain Lodgepole Pine Forest,Conifer,154.000000000000000,NA,661,125.000000000000000,Developed-Medium Intensity,Developed-Medium Intensity
,65717,26,971,9011,10510_15_16_17_22_23_24_25,Southern Rocky Mountain Dry-Mesic Montane Mixed Conifer Forest and Woodland,Conifer,91.000000000000000,77,14,11.000000000000000,North American Arid West Emergent Marsh,Riparian
,65724,484,993,7146,11170_16_23_24,Southern Rocky Mountain Ponderosa Pine Savanna,Conifer,161.000000000000000,80,9,8.000000000000000,Southern Rocky Mountain Montane-Subalpine Grassland,Grassland
,65727,36016,1004,7054,11590_16_23_24_26,Rocky Mountain Montane Riparian Systems,Riparian,271.000000000000000,NA,80,62.000000000000000,Southern Rocky Mountain Ponderosa Pine Woodland,Conifer
,65728,336,970,7054,10500_16_23_28,Rocky Mountain Lodgepole Pine Forest,Conifer,154.000000000000000,NA,661,125.000000000000000,Southern Rocky Mountain Ponderosa Pine Woodland,Conifer
,65729,349,993,9017,11170_16_23_24,Southern Rocky Mountain Ponderosa Pine Savanna,Conifer,161.000000000000000,80,9,8.000000000000000,Rocky Mountain Alpine-Montane Wet Meadow,Riparian
,65730,225,993,9019,11170_16_23_24,Southern Rocky Mountain Ponderosa Pine Savanna,Conifer,161.000000000000000,80,9,8.000000000000000,Rocky Mountain Lower Montane-Foothill Riparian Woodland,Riparian
,65734,80484,971,7054,10510_15_16_17_22_23_24_25,Southern Rocky Mountain Dry-Mesic Montane Mixed Conifer Forest and Woodland,Conifer,91.000000000000000,77,14,11.000000000000000,Southern Rocky Mountain Ponderosa Pine Woodland,Conifer
